player1_alive,player2_alive,player1_action,player2_action,player1_possible_outcome,player2_possible_outcome,player1_payoff,player2_payoff
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,1,0,0
0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0
0,0,0,1,1,0,0,0
0,0,0,1,1,1,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,0
0,0,1,0,1,0,0,0
0,0,1,0,1,1,0,0
0,0,1,1,0,0,0,0
0,0,1,1,0,1,0,0
0,0,1,1,1,0,0,0
0,0,1,1,1,1,0,0
0,1,0,0,0,0,0,-1
0,1,0,0,0,1,0,-1
0,1,0,0,1,0,0,-1
0,1,0,0,1,1,0,-1
0,1,0,1,0,0,0,-1
0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,-1
0,1,0,1,1,1,0,1
0,1,1,0,0,0,0,-1
0,1,1,0,0,1,0,-1
0,1,1,0,1,0,0,-1
0,1,1,0,1,1,0,-1
0,1,1,1,0,0,0,-1
0,1,1,1,0,1,0,1
0,1,1,1,1,0,0,-1
0,1,1,1,1,1,0,1
1,0,0,0,0,0,-1,0
1,0,0,0,0,1,-1,0
1,0,0,0,1,0,-1,0
1,0,0,0,1,1,-1,0
1,0,0,1,0,0,-1,0
1,0,0,1,0,1,-1,0
1,0,0,1,1,0,-1,0
1,0,0,1,1,1,-1,0
1,0,1,0,0,0,-1,0
1,0,1,0,0,1,-1,0
1,0,1,0,1,0,1,0
1,0,1,0,1,1,1,0
1,0,1,1,0,0,-1,0
1,0,1,1,0,1,-1,0
1,0,1,1,1,0,1,0
1,0,1,1,1,1,1,0
1,1,0,0,0,0,-1,-1
1,1,0,0,0,1,-1,-1
1,1,0,0,1,0,-1,-1
1,1,0,0,1,1,-1,-1
1,1,0,1,0,0,-1,-1
1,1,0,1,0,1,-1,1
1,1,0,1,1,0,1,-2
1,1,0,1,1,1,1,0
1,1,1,0,0,0,-1,-1
1,1,1,0,0,1,-2,1
1,1,1,0,1,0,1,-1
1,1,1,0,1,1,0,1
1,1,1,1,0,0,-1,-1
1,1,1,1,0,1,-1,-1
1,1,1,1,1,0,-1,-1
1,1,1,1,1,1,1,1
